# ----------------------------------------,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
# Pages and screens: Page path and screen class,,,,,,,,
# Account: seo,,,,,,,,
# Property: HBNO.com,,,,,,,,
# ----------------------------------------,,,,,,,,
#,,,,,,,,
# All Users,,,,,,,,
# Start date: 20250201,,,,,,,,
# End date: 20251022,,,,,,,,
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Bounce rate,Event count,Key events,Total revenue
/blogs/news/chamomile-oil-for-hair-benefits-growth-and-how-to-use-it,43,41,1.04878048780487,51.7560975609756,0.477272727272727,151,0,0
/products/garlic-fragrance,43,35,1.22857142857142,31.8857142857142,0.390243902439024,192,0,0
/blogs/news/castor-oil-for-babies-uses-and-benefits-for-gentle-care,42,37,1.13513513513513,37.7027027027027,0.48780487804878,154,0,0
/blogs/news/cinnamon-oil-for-natural-cleaning-freshen-up-your-home-with-spice,42,35,1.2,32.7428571428571,0.487179487179487,130,0,0
/blogs/news/myrrh-essential-oil-benefits-you-should-know,42,19,2.21052631578947,21.5263157894736,0.4,103,0,0
/collections/carrier-oils/products/almond-oil-organic,42,25,1.68,54.96,0,129,0,0
/products/cedarwood-essential-oil-virginia,42,33,1.27272727272727,25.1212121212121,0.179487179487179,149,0,0
/collections/essential-oils/products/geranium-essential-oil-organic,41,22,1.86363636363636,39.1818181818181,0.0416666666666666,109,0,0
/collections/sale/products/tamanu-oil-organic,41,29,1.41379310344827,35.551724137931,0.09375,126,0,0
/blogs/news/avocado-and-sunflower-oil-a-versatile-pair-for-daily-life,40,33,1.21212121212121,58.5757575757575,0.323529411764705,126,0,0
/blogs/news/how-eucalyptus-oil-helps-treat-pimples-effectively,40,32,1.25,38.3125,0.54054054054054,124,0,0
/blogs/news/marula-oil-skin-benefits-care-for-a-radiant-glow,40,30,1.33333333333333,54,0.432432432432432,117,0,0
/blogs/news/clove-oil-for-fleas-safe-usage-for-cats-and-dogs,39,23,1.69565217391304,76.7826086956521,0.379310344827586,112,0,0
/blogs/news/geranium-essential-oil-benefits-for-skin-hair-and-aromatherapy,39,18,2.16666666666666,33,0.321428571428571,99,0,0
/blogs/news/is-almond-oil-good-for-hair-fall-curly-hair-and-grey-hair,39,28,1.39285714285714,60.7857142857142,0.416666666666666,130,0,0
/blogs/news/is-spearmint-oil-good-for-skin-exploring-its-skincare-benefits,39,34,1.14705882352941,30.6470588235294,0.552631578947368,126,0,0
